"Haltestellen_Id","Haltestellennummer","Haltestellenkurzname","Haltestellenlangname"
230,1430,"KLUS","Zürich, Klusplatz"
188,6304,"KOES","Zürich, Köschenrüti"
142,1445,"KNOR","Zürich, Krematorium Nordheim"
42,1446,"KSIH","Zürich, Krematorium Sihlfeld"
38,1453,"KREU","Zürich, Kreuzplatz"
338,1456,"KRES","Zürich, Kreuzstrasse"
292,1468,"KRON","Zürich, Kronenstrasse"
712,1471,"KROE","Zürich, Krönleinstrasse"
156,1472,"KUNS","Zürich, Kunsthaus"
349,1595,"LAEG","Zürich, Lägernstrasse"
106,3141,"LAND","Zürich, Landiwiese"
709,1502,"LAST","Zürich, Langensteinenstrasse"
649,1503,"LANG","Zürich, Langgrütstrasse"
148,1507,"LANM","Zürich, Langmauerstrasse"
89,1519,"LAUB","Zürich, Laubegg"
260,1522,"LAUI","Zürich, Laubiweg"
205,1528,"LEHE","Zürich, Lehenstrasse"
186,1532,"LEIM","Zürich, Leimgrübelstrasse"
304,1539,"LERC","Zürich, Lerchenhalde"
680,3457,"LERA","Zürich, Lerchenrain"
200,1547,"LETT","Zürich, Lettenstrasse"
664,1548,"LETG","Zürich, Letzigrund"
248,3148,"LETP","Zürich, Letzipark"
47,1549,"LPAW","Zürich, Letzipark West"
149,1550,"LETZ","Zürich, Letzistrasse"
318,1552,"LEUT","Zürich, Leutschenbach"
67,1557,"LIMM","Zürich, Limmatplatz"
100,1570,"LIND","Zürich, Lindenplatz"
341,1579,"LOCH","Zürich, Lochergut"
95,1581,"LOOG","Zürich, Loogarten"
506,1584,"LOOR","Zürich, Loorenstrasse"
241,1608,"LOEW","Zürich, Löwenplatz"
326,1587,"LUCH","Zürich, Luchswiesen"
325,1590,"LUEG","Zürich, Luegisland"
48,1592,"LUGG","Zürich, Luggwegstrasse"
141,1611,"MAIE","Zürich, Maienweg"
9,3788,"MAIL","Zürich, Maillartstrasse"
566,1612,"MANG","Zürich, Manegg"
362,1614,"MANS","Zürich, Manesseplatz"
569,1615,"MARB","Zürich, Marbachweg"
370,1620,"MATT","Zürich, Mattenhof"
5,3764,"MAXB","Zürich, Max-Bill-Platz"
209,1626,"MEIE","Zürich, Meierhofplatz"
317,3154,"MEHA","Zürich, Messe/Hallenstadion"
250,1640,"MICA","Zürich, Micafil"
562,1641,"MICH","Zürich, Michelstrasse"
58,1643,"MIBU","Zürich, Milchbuck"
243,1644,"MILA","Zürich, Militär-/Langstrasse"
572,1648,"MITL","Zürich, Mittelleimbach"
274,1660,"MORG","Zürich, Morgental"
302,3451,"MOTT","Zürich, Mötteliweg"
577,6628,"MUEH","Zürich, Mühlacker"
66,1667,"MUFG","Zürich, Museum für Gestaltung"
279,1666,"MUSR","Zürich, Museum Rietberg"
98,1698,"NEES","Zürich, Neeserweg"
351,1705,"NEUA","Zürich, Neuaffoltern"
498,1710,"NEUB","Zürich, Neubühl"
240,1724,"NEUM","Zürich, Neumarkt"
7,3804,"NBRU","Zürich, Neunbrunnen"
143,1744,"NORH","Zürich, Nordheimstrasse"
204,1745,"NORS","Zürich, Nordstrasse"
219,1753,"NUER","Zürich, Nürenbergstrasse"
573,1821,"OBEW","Zürich, Oberwiesenstrasse"
319,6459,"ZOER","Zürich, Oerlikerhus"
201,3786,"OKEN","Zürich, Okenstrasse"
337,1845,"OPER","Zürich, Opernhaus"
679,3001,"ORIO","Zürich, Orionstrasse"
262,1856,"OTTI","Zürich, Ottikerstrasse"
82,1861,"PARA","Zürich, Paradeplatz"
694,3765,"PAUL","Zürich, Paulus-Akademie"
180,1441,"PKAE","Zürich, Pflegezentr. Käferberg"
159,1889,"PLAT","Zürich, Platte"
275,2005,"PWOL","Zürich, Post Wollishofen"
371,2008,"PROB","Zürich, Probstei"
68,2014,"QUEL","Zürich, Quellenstrasse"
145,2017,"RADI","Zürich, Radiostudio"
704,2120,"RAEF","Zürich, Räffelstrasse"
266,2030,"RATH","Zürich, Rathaus"
557,2033,"RAUH","Zürich, Rautihalde"
305,2034,"RAUT","Zürich, Rautistrasse"
206,2035,"REBE","Zürich, Rebbergsteig"
258,2045,"REGB","Zürich, Regensbergbrücke"
35,2549,"REHA","Zürich, Rehalp"
81,2054,"RAUG","Zürich, Rennweg"
103,2055,"RENT","Zürich, Rentenanstalt"
579,2069,"RIEG","Zürich, Riedgraben"
166,3122,"RIEH","Zürich, Riedhofstrasse"
674,2090,"BERG","Zürich, Rigiblick"
269,2124,"ROEM","Zürich, Römerhof"
348,2127,"ROEN","Zürich, Röntgenstrasse"
56,2104,"ROSE","Zürich, Rosengartenstrasse"
261,2128,"ROES","Zürich, Röslistrasse"
373,2107,"ROSW","Zürich, Roswiesen"
220,2108,"ROTB","Zürich, Rotbuchstrasse"
108,2109,"ROTE","Zürich, Rote Fabrik"
265,2113,"RBRU","Zürich, Rudolf-Brun-Brücke"
214,2140,"RUET","Zürich, Rütihof"
88,2550,"SAAL","Zürich, Saalsporthalle"
580,2145,"SAAT","Zürich, Saatlenstrasse"
215,2147,"SACK","Zürich, Sackzelg"
288,2151,"SALE","Zürich, Salersteig"
558,2152,"SALZ","Zürich, Salzweg"
247,2142,"SBBW","Zürich, SBB-Werkstätte"
221,2158,"SPLA","Zürich, Schaffhauserplatz"
708,6776,"SANZ","Zürich, Schanzackerstrasse"
710,2314,"SAPI","Zürich, Schäppiweg"
681,3458,"PSCH","Zürich, Schauenberg"
170,2160,"SCHA","Zürich, Schaufelbergerstrasse"
222,2164,"SCHZ","Zürich, Scheuchzerstrasse"
54,6759,"SBAU","Zürich, Schiffbau"
517,2251,"SYFI","Zürich, Schlyfi"
296,2256,"SWIE","Zürich, Schmiede Wiedikon"
189,2320,"SCHG","Zürich, Schönauring"
328,2326,"SCHO","Zürich, Schörlistrasse"
216,3155,"ALTW","Zürich, Schulhaus Altweg"
556,2276,"BUCL","Zürich, Schulhaus Buchlern"
303,2289,"SWEG","Zürich, Schumacherweg"
651,2329,"SURG","Zürich, Schürgistrasse"
564,3566,"SHOE","Zürich, Schützenhaus Höngg"
198,2294,"SCHW","Zürich, Schwamendingerplatz"
588,2298,"SHOL","Zürich, Schwandenholz"
171,2302,"SHOF","Zürich, Schweighof"
104,3477,"SRUC","Zürich, Schweizer Rück"
208,2306,"SCHT","Zürich, Schwert"
183,2346,"SEEB","Zürich, Seebach"
133,1275,"SEPL","Zürich, Seebacherplatz"
109,2834,"SEER","Zürich, Seerose"
212,2364,"SEGA","Zürich, Segantinistrasse"
693,3767,"SEGE","Zürich, Segeten"
249,2366,"SEID","Zürich, Seidelhof"
151,2367,"RIGI","Zürich, Seilbahn Rigiblick"
343,2385,"SIEM","Zürich, Siemens"
238,2388,"SIGN","Zürich, Signaustrasse"
175,6463,"SIHC","Zürich, Sihlcity"
87,2771,"SIHN","Zürich, Sihlcity Nord"
62,1366,"SIHP","Zürich, Sihlpost / HB"
65,2395,"SIHL","Zürich, Sihlquai/HB"
330,2396,"SIHS","Zürich, Sihlstrasse"
571,2398,"SIHW","Zürich, Sihlweidstrasse"
211,2402,"SING","Zürich, Singlistrasse"
101,6003,"SOLP","Zürich, Solidapark"
263,2411,"SONN","Zürich, Sonneggstrasse"
333,2449,"SPOW","Zürich, Sportweg"
239,2450,"SPRE","Zürich, Sprecherstrasse"
224,2451,"SPYR","Zürich, Spyriplatz"
711,2452,"SPYS","Zürich, Spyristeig"
110,2461,"STAD","Zürich, Stadtgrenze"
202,2474,"STAM","Zürich, Stampfenbachplatz"
137,3768,"STBU","Zürich, Staudenbühl"
61,2556,"STAU","Zürich, Stauffacher"
192,2572,"SOER","Zürich, Sternen Oerlikon"
8,6117,"SRIE","Zürich, Stierenried"
83,2582,"STOC","Zürich, Stockerstrasse"
91,2596,"STRV","Zürich, Strassenverkehrsamt"
707,2598,"STRI","Zürich, Strickhof"
105,3522,"SUKK","Zürich, Sukkulentensammlung"
522,2612,"SUNN","Zürich, Sunnau"
375,2618,"SUSE","Zürich, Susenbergstrasse"
298,2638,"TALW","Zürich, Talwiesenstrasse"
331,3453,"TECH","Zürich, Technopark"
365,2659,"THUJ","Zürich, Thujastrasse"
323,2666,"TIER","Zürich, Tierspital"
646,2667,"TITL","Zürich, Titlisstrasse"
486,2671,"TOBE","Zürich, Tobelhof"
226,2673,"TOBL","Zürich, Toblerplatz"
332,718,"TONA","Zürich, Toni-Areal"
691,3769,"TFUS","Zürich, Trichtenhausenfussweg"
690,6416,"TRSA","Zürich, Trichtisal"
218,2680,"TRIE","Zürich, Triemli"
311,2682,"TRIS","Zürich, Triemlispital"
75,2707,"TUEF","Zürich, Tüffenwies"
584,2688,"TULP","Zürich, Tulpenstrasse"
84,2689,"TUNN","Zürich, Tunnelstrasse"
90,2722,"UETL","Zürich, Uetlihof"
147,1334,"IRCH","Zürich, Universität Irchel"
587,2737,"UAFF","Zürich, Unteraffoltern"
306,2754,"UNTM","Zürich, Untermoosstrasse"
565,2776,"VERE","Zürich, Verenastrasse"
223,2779,"VOGE","Zürich, Vogelsangstrasse"
160,2788,"VOLT","Zürich, Voltastrasse"
682,3588,"VULK","Zürich, Vulkanstrasse"
368,6019,"WAFB","Zürich, Waffenplatz-/Bederstr."
86,2795,"WAFF","Zürich, Waffenplatzstrasse"
179,2799,"WAIB","Zürich, Waidbadstrasse"
281,2800,"WAIF","Zürich, Waidfussweg"
589,2801,"WAIH","Zürich, Waidhof"
181,2803,"WAIS","Zürich, Waidspital"
195,2814,"WALD","Zürich, Waldgarten"
647,2815,"WDOL","Zürich, Waldhaus Dolder"
285,2831,"WART","Zürich, Wartau"
519,2836,"WASE","Zürich, Waserstrasse"
182,2858,"WEIH","Zürich, Weihersteig"
294,6238,"WERE","Zürich, Werd"
78,2872,"WERD","Zürich, Werdhölzli"
314,2879,"WETL","Zürich, Wetlistrasse"
497,2889,"WIDM","Zürich, Widmerstrasse"
210,2899,"WIES","Zürich, Wieslergasse"
692,3772,"WACH","Zürich, Wiesliacher"
235,2907,"WILD","Zürich, Wildbachstrasse"
152,2924,"WINK","Zürich, Winkelriedstrasse"
162,2934,"WINH","Zürich, Winzerhalde"
286,2935,"WINZ","Zürich, Winzerstrasse"
164,6015,"WINS","Zürich, Winzerstrasse Süd"
280,2937,"WIPK","Zürich, Wipkingerplatz"
695,3773,"WITZ","Zürich, Witikon Zentrum"
272,2950,"WOLL","Zürich, Wollishofen"
698,2956,"WONE","Zürich, Wonnebergstrasse"
335,6648,"WURZ","Zürich, Würzgraben"
353,2968,"ZEHN","Zürich, Zehntenhausplatz"
677,2998,"ZIEL","Zürich, Zielweg"
376,3005,"ZOO","Zürich, Zoo"
487,4,"ZOOF","Zürich, Zoo/Forrenweid"
374,3045,"ZUER","Zürich, Zürichbergstrasse"
536,3011,"ZWEI","Zürich, Zweiackerstrasse"
284,3015,"ZWIE","Zürich, Zwielplatz"
357,3018,"ZWIN","Zürich, Zwinglihaus"
342,3019,"ZYPR","Zürich, Zypressenstrasse"
340,1357,"KALK","Zürich,Kalkbreite/Bhf.Wiedikon"
