"Haltestellen_Id","Haltestellennummer","Haltestellenkurzname","Haltestellenlangname"
750,589,"BAEC","Kilchberg ZH, Bächlerstrasse"
741,1391,"BKIL","Kilchberg ZH, Bahnhof"
112,3775,"BEND","Kilchberg ZH, Bendlikon"
753,6782,"KBRE","Kilchberg ZH, Breitloo"
752,6781,"KEMI","Kilchberg ZH, Emilienheim"
743,1018,"GOBI","Kilchberg ZH, Gottlieb-Binder"
745,3254,"HALL","Kilchberg ZH, Hallenbad"
126,1249,"HORN","Kilchberg ZH, Hornhaldenstr."
132,1401,"KILB","Kilchberg ZH, Kirche"
129,1457,"KREK","Kilchberg ZH, Kreuzstrasse"
746,1577,"LISP","Kilchberg ZH, Lindt & Sprüngli"
749,3796,"MYTH","Kilchberg ZH, Mythenstrasse"
751,6780,"KOBE","Kilchberg ZH, Obere Hornhalde"
127,1863,"PAKI","Kilchberg ZH, Paradiessteig"
111,1864,"PARU","Kilchberg ZH, Paradiesstrasse"
128,2154,"SANK","Kilchberg ZH, Sanatorium"
754,2239,"SLIM","Kilchberg ZH, Schlimbergstr."
113,2262,"SORU","Kilchberg ZH, Schooren"
747,2264,"SOKI","Kilchberg ZH, Schoorenstrasse"
130,2304,"KSCH","Kilchberg ZH, Schwelle"
525,1440,"KSPI","Kilchberg ZH, Spital"
748,2580,"STOG","Kilchberg ZH, Stockengut"
125,2859,"WEIK","Kilchberg ZH, Weinbergstrasse"
742,2277,"SHDO","Kilchberg ZH,Schulhaus Dorfstr"
461,3822,"BKIS","Killwangen, Bahnhof"
655,1397,"KIND","Kindhausen AG"
656,757,"EIHH","Kindhausen AG, Eichholz"
381,6506,"BABH07","Kloten Balsberg, Bahnhof"
641,54,"KALL","Küsnacht ZH, Allmend"
602,1488,"BKUE","Küsnacht ZH, Bahnhof"
759,462,"BEST","Küsnacht ZH, Bergstrasse"
608,516,"BOGL","Küsnacht ZH, Boglerenstrasse"
610,610,"BUEH","Küsnacht ZH, Bühlstrasse"
605,933,"GART","Küsnacht ZH, Gartenstrasse"
609,1011,"GOBA","Küsnacht ZH, Goldbacherstrasse"
604,1106,"HABA","Küsnacht ZH, Hallenbad"
639,1182,"HESL","Küsnacht ZH, Hesligenstrasse"
638,1189,"HIST","Küsnacht ZH, Himmelistrasse"
607,1769,"OBHE","Küsnacht ZH, Obere Heslibachst"
606,1779,"OBFE","Küsnacht ZH, Oberfeld"
600,1818,"OBWA","Küsnacht ZH, Oberwacht"
640,2122,"RAEN","Küsnacht ZH, Ränkestrasse"
603,2043,"RKIK","Küsnacht ZH, Reform. Kirche"
598,2167,"SIHG","Küsnacht ZH, Schiedhaldensteig"
599,2168,"SIHE","Küsnacht ZH, Schiedhaldenstr."
597,2327,"SUEB","Küsnacht ZH, Schübel"
601,3744,"ZENK","Küsnacht ZH, Zentrum"
25,12504,"LWIE99","Langwies ZH"
29,12506,"MAI99","Maiacher"
492,3134,"MASC","Maur, Aschbach"
493,678,"MDOR","Maur, Dorf"
494,1403,"MKIR","Maur, Kirche"
500,1892,"MPLA","Maur, Platten"
495,2342,"MSEE","Maur, See"
28,12508,"NFOR99","Neue Forch"
22,12509,"NHA99","Neuhaus bei Hinteregg"
392,748,"EGGB","Oberengstringen, Eggbühl"
393,1516,"LANZ","Oberengstringen, Lanzrain"
395,1862,"PAEN","Oberengstringen, Paradies"
394,2984,"OBEE","Oberengstringen, Zentrum"
432,1094,"OHAL","Oetwil an der Limmat, Halde"
431,1759,"OBDO","Oetwil an der Limmat, Oberdorf"
430,1964,"OPOS","Oetwil an der Limmat, Post"
553,2286,"SCHU07","Opfikon, Schulstrasse"
552,6808,"OSCH07","Opfikon, Schwimmbad"
508,833,"FELH","Pfaffhausen, Feldhof"
503,1873,"PMUE","Pfaffhausen, Müseren"
510,1871,"PFAF","Pfaffhausen, Pfaffenstein"
509,2622,"SAGG","Pfaffhausen, Sängglen"
379,6507,"RBAU07","Rümlang, Bäuler"
738,1799,"RGEM07","Rümlang, Gemeindehaus"
737,6682,"RHOE07","Rümlang, Hörnlistrasse"
736,1542,"RLET07","Rümlang, Letten"
739,1763,"ORUE07","Rümlang, Oberdorf"
116,3186,"RUEB","Rüschlikon, Bahnhof"
119,443,"BELV","Rüschlikon, Belvoir"
115,515,"BODE","Rüschlikon, Bodengasse"
122,6448,"EGGR","Rüschlikon, Eggrain"
118,1505,"LANH","Rüschlikon, Langhaldenstrasse"
121,6447,"LRAI","Rüschlikon, Loorain"
123,1657,"MOOS","Rüschlikon, Moosstrasse"
124,6492,"RPAR","Rüschlikon, Park im Grüene"
724,6009,"RREB","Rüschlikon, Rebsteig"
120,3187,"RSAU","Rüschlikon, Säumerstrasse"
114,410,"BSRU","Rüschlikon, Schlossstrasse"
117,2852,"WEID","Rüschlikon, Weidstrasse"
21,12166,"SCH99","Scheuren"
480,2166,"SCHE","Scheuren, Station"
404,6347,"SCHB","Schlieren, Bahnhof"
405,550,"BRUG","Schlieren, Brunngasse"
403,838,"FSTR","Schlieren, Feldstrasse"
252,935,"GASO","Schlieren, Gasometerbrücke"
407,1151,"HEIM","Schlieren, Heimeliweg"
684,1327,"IGAS","Schlieren, Industrie Gaswerk"
440,1388,"KESS","Schlieren, Kesslerstrasse"
251,1690,"MULL","Schlieren, Mülligen"
406,1694,"NASS","Schlieren, Nassacker"
441,2051,"REIT","Schlieren, Reitmen"
685,2141,"RUST","Schlieren, Rütistrasse"
408,2436,"SPLI","Schlieren, Spital Limmattal"
442,3748,"STAK","Schlieren, Steinacker"
402,2631,"TAWI","Schlieren, Talacker-Windegg"
253,2798,"WAGO","Schlieren, Wagonsfabrik"
255,2237,"SZEN","Schlieren, Zentrum"
254,2236,"SCHL","Schlieren, Zentrum/Bahnhof"
515,2307,"BSCH","Schwerzenbach ZH, Bahnhof"
514,684,"DORS","Schwerzenbach ZH, Dorf"
33,12438,"SZFB99","Spital Zollikerberg"
457,6586,"CESP","Spreitenb, Center Spreitenbach"
454,6663,"SPAL","Spreitenbach, Altersheim"
452,3460,"ASPS","Spreitenbach, Asp"
460,6300,"SBRE","Spreitenbach, Breiti"
453,3520,"BRUL","Spreitenbach, Brüel"
458,6301,"FURT","Spreitenbach, Furttalstrasse"
686,6958,"SGLA","Spreitenbach, Glattler"
456,6462,"IKEA","Spreitenbach, Ikea"
459,6303,"SINT","Spreitenbach, Interio"
455,2384,"SCEN","Spreitenbach, Shopping Center"
727,2412,"FELD01","Thalwil, Feldstrasse"
729,1684,"MUBA01","Thalwil, Mühlebachplatz"
731,3378,"PTHA01","Thalwil, Post"
728,2333,"THSH01","Thalwil, Schützenhaus"
725,4108,"SEHA01","Thalwil, Seehaldenstrasse"
726,6856,"TSON01","Thalwil, Sonnenberg"
730,2989,"TZEN01","Thalwil, Zentrum"
722,687,"UITIDRF","Uitikon, Dorf"
429,29,"AEGU","Unterengstringen, Aegelsee"
400,743,"ECKS","Unterengstringen, Eckstein"
396,1498,"LANA","Unterengstringen, Langacher"
401,6724,"ULAN","Unterengstringen, Langwisen"
398,6825,"USEN","Unterengstringen, Sennenbüel"
397,2751,"USNO","Unterengstringen, Sennenbüel N"
415,2767,"BWEI","Urdorf Weihermatt, Bahnhof"
409,831,"FEGG","Urdorf, Feldegg"
642,6297,"HEIN","Urdorf, Heinrich-Stutz-Strasse"
444,1178,"HWEG","Urdorf, Herweg"
443,1586,"LUBE","Urdorf, Luberzen"
412,1725,"NEUT","Urdorf, Neumatt"
631,1726,"NMAT","Urdorf, Neumattstrasse"
411,1731,"NURD","Urdorf, Niederurdorf"
535,3589,"OBUR","Urdorf, Oberurdorf"
630,2024,"RAIW","Urdorf, Rainweg"
410,2238,"SCHS","Urdorf, Schlierenstrasse"
534,3590,"SONU","Urdorf, Sonne"
413,2440,"SPIT","Urdorf, Spitzacker"
414,2732,"UITI","Urdorf, Uitikonerstrasse"
733,3740,"VHOF07","Volketswil, Hofwisen"
732,632,"VCHL07","Volketswil, Volkiland Chliriet"
34,12807,"WAB99","Waldburg"
16,2807,"WABG","Waldburg, Station"
719,3356,"WALBIST","Waldegg, Birmensdorferstrasse"
720,6907,"WALDLEU","Waldegg, Leuen"
